npsn,nama_sekolah,nilai_total,provinsi,kota/kab,jenis_sekolah
20321438,"SMA NEGERI 1 TEMANGGUNG ,More..","563,523",Prov. Jawa Tengah,Kab. Temanggung,SMA
20403176,"SMAN 11 YOGYAKARTA ,More..","563,275",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20400373,"SMA NEGERI 1 SANDEN ,More..","585,389",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
10303461,"SMAN 1 PADANG ,More..","584,853",Prov. Sumatera Barat,Kota Padang,SMA
69760753,"SMAS IT IBNU ABBAS ,More..","584,656",Prov. Jawa Tengah,Kab. Klaten,SMA
69873999,"SMA KRISTEN PENABUR KOTA WISATA ,More..","584,582",Prov. Jawa Barat,Kab. Bogor,SMA
69949652,"SMA Muhammadiyah Program Khusus Kottabarat Surakarta ,More..","584,555",Prov. Jawa Tengah,Kota Surakarta,SMA
20258396,"SMAS IT AS-SYIFA BOARDING SCHOOL ,More..","584,418",Prov. Jawa Barat,Kab. Subang,SMA
20219728,"SMAS BPK 2 PENABUR ,More..","584,268",Prov. Jawa Barat,Kota Bandung,SMA
40320336,"SMAS ZION ,More..","563,177",Prov. Sulawesi Selatan,Kota Makassar,SMA
20549721,"SMAS AL HIKMAH SURABAYA ,More..","563,152",Prov. Jawa Timur,Kota Surabaya,SMA
20308449,"SMAN 1 BOYOLALI ,More..","563,028",Prov. Jawa Tengah,Kab. Boyolali,SMA
20534124,"SMAN 2 MADIUN ,More..","562,790",Prov. Jawa Timur,Kota Madiun,SMA
20403177,"SMAN 2 YOGYAKARTA ,More..","562,340",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20306807,"SMA NEGERI 1 WONOSOBO ,More..","562,211",Prov. Jawa Tengah,Kab. Wonosobo,SMA
20328896,"SMA NEGERI 02 ,More..","562,189",Prov. Jawa Tengah,Kota Semarang,SMA
20606507,"SMAS UPH COLLEGE ,More..","584,074",Prov. Banten,Kab. Tangerang,SMA
10303611,"SMAN 1 PADANG PANJANG ,More..","583,940",Prov. Sumatera Barat,Kota Padang Panjang,SMA
20307644,"SMAS PANGUDI LUHUR VAN LITH ,More..","583,823",Prov. Jawa Tengah,Kab. Magelang,SMA
20101623,"SMAN 19 JAKARTA ,More..","583,634",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
20327563,"SMAN 1 MAGELANG ,More..","583,608",Prov. Jawa Tengah,Kota Magelang,SMA
20306202,"SMAN 1 PURWOREJO ,More..","583,325",Prov. Jawa Tengah,Kab. Purworejo,SMA
20100806,"SMAN 13 JAKARTA ,More..","583,285",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
20107277,"SMAS AL IZHAR JAKARTA ,More..","561,953",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
